Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Quantitative Genomic DNA from Vibrio cholerae (ATCC 39315DQ),$541.00 ,$541.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial/load.",https://www.atcc.org/~/ps/39315DQ.ashx,,,,
Quantitative Genomic DNA from Treponema denticola (ATCC 35405DQ),$541.00 ,$541.00 ,seqeunce available,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/35405DQ.ashx,,,,
Quantitative Genomic DNA from Mycoplasma genitalium (ATCC 33530DQ),$578.00 ,$578.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/33530DQ.ashx,,,,
"NGS-Ready DNA from Streptococcus anginosus, strain NCTC 10713 (ATCC 33397DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/33397DX.ashx,,,,
Quantitative Genomic DNA from Legionella pneumophila subsp. pneumophila (ATCC 33152DQ),$578.00 ,$578.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/33152DQ.ashx,,,,
"NGS-Ready DNA from Klebsiella variicola, strain PS-53 (ATCC 31488DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC??NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/31488DX.ashx,,,,
Quantitative Genomic DNA from Mycoplasma pneumoniae (ATCC 29342DQ),$541.00 ,$541.00 ,NA,ATCC,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/29342DQ.ashx,,,,
Quantitative Genomic DNA from Fusobacterium nucleatum subsp. nucleatum (ATCC 25586DQ),$578.00 ,$578.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/25586DQ.ashx,,,,
Veillonella parvula (Veillon and Zuber) Mays et al. (ATCC 17745D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Veillonella parvula strain 259 [ATCC 17745],1,dried At least 5 ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/17745D-5.ashx,,,,
Quantitative Genomic DNA from Staphylococcus saprophyticus subsp. saprophyticus (ATCC 15305DQ),$541.00 ,$541.00 ,seqeunce available,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/15305DQ.ashx,,,,
"NGS-Ready DNA from Pseudomonas fluorescens, strain NCTC 10038 (ATCC 13525DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/13525DX.ashx,,,,
Gardnerella vaginalis (Gardner and Dukes) Greenwood and Pickett (ATCC 14019D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Gardnerella vaginalis strain 317 [ATCC 14019],1,dried At least 5ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/14019D-5.ashx,,,,
Campylobacter coli (Doyle) Veron and Chatelain (ATCC BAA-1061),$402.00 ,$341.70 ,seqeunce available,NA,RM 2228,2,freeze-dried,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius  Atmosphere: Microaerophilic,2Celsius  to 8Celsius,NA,NA,Emerging infectious disease researchEnteric Research,https://www.atcc.org/~/ps/BAA-1061.ashx,,,,
Bacillus cereus Frankland and Frankland (ATCC 10876D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Bacillus cereus strain NRRL B-568 [ATCC 10876],1,frozen Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/10876D-5.ashx,,,,
Streptococcus agalactiae Lehmann and Neumann (ATCC BAA-1175),$376.00 ,$319.60 ,seqeunce available,NA,18RS21,2,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1175.ashx,,,,
Borrelia burgdorferi Johnson et al. emend. Baranton et al. (ATCC 35210D-5),$314.00 ,$314.00 ,NA,NA,Genomic DNA from Borrelia burgdorferi Strain B31 [ATCC 35210],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,Vector borne research,https://www.atcc.org/~/ps/35210D-5.ashx,,,,
Shewanella loihica (ATCC BAA-1088D-5),$550.00 ,$550.00 ,seqeunce available,Shewanella sp.,Genomic DNA from Shewanella loihica strain PV-4 [ATCC BAA-1088],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1088D-5.ashx,,,,
Granulibacter bethesdensis Greenberg et al. (ATCC BAA-1260D-5),$550.00 ,$550.00 ,seqeunce available,NA,Genomic DNA from Granulibacter bethesdensis strain CGDNIH1 [ATCC BAA-1260],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1260D-5.ashx,,,,
Bordetella pertussis (Bergey et al.) Moreno-Lopez (ATCC BAA-589),$376.00 ,$319.60 ,seqeunce available,NA,Tohama I,2,freeze-dried,ATCC  35: Bordet Gengou Agar/Broth,Temperature: 37Celsius Atmosphere:  Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-589.ashx,,,,
Thiobacillus denitrificans Kelly and Harrison (ATCC 25259D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Thiobacillus denitrificans strain T1 [ATCC 25259],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25259D-5.ashx,,,,
Pseudomonas fluorescens Migula (ATCC 13525),$67.00 ,$56.95 ,seqeunce available,NA,"NCTC 10038 [28/5, CCEB 546, DSM 50090, NCIB 9046, NCPPB 1964, PJ239, R. Hugh 818, R.Y. Stanier 192, Biotype A]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Assay of antimicrobial preservativesReference materialWater testing,https://www.atcc.org/~/ps/13525.ashx,,,,
Bacillus pacificus Delaporte (ATCC 10987D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Bacillus pacificus strain NRS 248 [ATCC 10987],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/10987D-5.ashx,,,,
Pseudomonas aeruginosa (Schroeter) Migula (ATCC 47085),$402.00 ,$341.70 ,seqeunce available,NA,PAO1-LAC,2,freeze-dried,ATCC  1631: LB medium (ATCC medium 1065) with 10 mcg/ml tetracycline,Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Transformation hostOpportunistic pathogen research,https://www.atcc.org/~/ps/47085.ashx,,,,
Veillonella parvula (Veillon and Zuber) Mays et al. (ATCC 17745),$402.00 ,$341.70 ,seqeunce available,Veillonella dispar (Rogosa) Mays et al.,259 [VPI 11224],1,freeze-dried,"ATCC  1252: Reinforced Clostridial medium (Oxoid CM149) with sodium lactate (60% solution) at a concentration of 1.5%
ATCC  188: Veillonella medium","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces hydrogen sulfide,https://www.atcc.org/~/ps/17745.ashx,,,,
Shigella flexneri Castellani and Chalmers (ATCC 700930D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Shigella flexneri strain 2457T [ATCC 700930],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700930D-5.ashx,,,,
Rhodospirillum rubrum (Esmarch) Molisch (ATCC 11170D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Rhodospirillum rubrum strain NCIB 8255 [ATCC 11170],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/11170D-5.ashx,,,,
Salmonella enterica subsp. enterica (ex Kauffmann and Edwards) Le Minor and Popoff serovar Paratyphi B (ATCC BAA-1250D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Salmonella enterica subsp. enterica serovar Paratyphi B strain SPB7 [ATCC BAA-1250],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1250D-5.ashx,,,,
Shigella flexneri Castellani and Chalmers (ATCC 700930),$402.00 ,$341.70 ,seqeunce available,NA,2457T,2,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Emerging infectious disease and enteric research,https://www.atcc.org/~/ps/700930.ashx,,,,
Staphylococcus epidermidis (Winslow and Winslow) Evans (ATCC 35984),$376.00 ,$319.60 ,seqeunce available,NA,RP62A,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces polysaccharide adhesin,https://www.atcc.org/~/ps/35984.ashx,,,,
Streptococcus sanguinis White and Niven emend. Kilian et al. (ATCC BAA-1455),$402.00 ,$341.70 ,seqeunce available,NA,SK36,2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Aerobic, 5% CO2 will enhance growth",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1455.ashx,,,,
Chloroflexus aurantiacus Pierson and Castenholz (ATCC 29366),$376.00 ,$319.60 ,NA,NA,J-10-fl,1,freeze-dried,ATCC  920: Chloroflexus medium,"Temperature: 50Celsius 
Atmosphere: Aerobic under 1000-1500 LUX of light",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/29366.ashx,,,,
Aeromonas hydrophila (Chester) Stanier (ATCC 7966),$402.00 ,$341.70 ,seqeunce available,Proteus ichthyosmius (Hammer) Bergey et al.,"[CDC 359-60, IAM 12460, NCIB 9240, NCMB 86, NCTC 8049, RH 250]",2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30Celsius Atmosphere:  Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Quality control strainReference materialTestingWater testing,https://www.atcc.org/~/ps/7966.ashx,,,,
Escherichia fergusonii Farmer et al. (ATCC 35469),"For-Profit:
$314.00",,seqeunce available,NA,CDC 0568-73 [DSM 13698],2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/35469.ashx,,,,
Mycobacterium avium subsp. paratuberculosis (Bergey et al.) Thorel et al. (ATCC BAA-968),$376.00 ,$319.60 ,seqeunce available,NA,K-10,2,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  1507: Supplemented Middlebrook
ATCC  90: Lowenstein Jenson medium
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-968.ashx,,,,
Streptococcus pyogenes Rosenbach (ATCC 700294D-5),$336.00 ,$336.00 ,NA,NA,Genomic DNA from Streptococcus pyogenes Strain SF370; M1 GAS [ATCC 700294],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700294D-5.ashx,,,,
Novosphingobium aromaticivorans (Balkwill et al.) Takeuchi et al. (ATCC 700278),$402.00 ,$341.70 ,seqeunce available,Sphingomonas aromaticivorans Balkwill et al.,SMCC F199; DSM 12444,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Degrades aromatic compoundsDegrades naphthaleneDegrades toluene,https://www.atcc.org/~/ps/700278.ashx,,,,
Streptococcus agalactiae Lehmann and Neumann (ATCC BAA-1174),$376.00 ,$319.60 ,NA,NA,H36b,2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1174.ashx,,,,
Synechococcus sp. (ATCC 27264),"$1,320.00 ","$1,122.00 ",seqeunce available,NA,PCC 7002 [PR-6],1,test tube,ATCC  1047: MN Marine medium (ATCC  957) with 20 mcg/L of vitamin B12,"Temperature: 26Celsius 
Atmosphere: Aerobic under light intensity of 2,000-3,000 LUX",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Produces restriction endonuclease AquI
Biotechnology",https://www.atcc.org/~/ps/27264.ashx,,,,
Streptococcus pyogenes Rosenbach (ATCC BAA-1064),$402.00 ,$341.70 ,seqeunce available,NA,MGAS 6180 [BE98-762],2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: 5% CO2 in air recommended",2Celsius  to 8Celsius,NA,NA,Emerging infectious disease research,https://www.atcc.org/~/ps/BAA-1064.ashx,,,,
Quantitative Genomic DNA from Staphylococcus aureus subsp. aureus (ATCC BAA-1556DQ),$541.00 ,$541.00 ,seqeunce available,NA,FPR3757,1,frozen Specification range: ??? 1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load and for other molecular biology applications.",https://www.atcc.org/~/ps/BAA-1556DQ.ashx,,,,
Escherichia coli (Migula) Castellani and Chalmers (ATCC 700926D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Escherichia coli Strain MG1655 [ATCC 700926],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700926D-5.ashx,,,,
Lactobacillus florum Endo et al. (ATCC BAA-2773),$376.00 ,$319.60 ,NA,NA,2F,1,frozen,ATCC  416: Lactobacilli MRS Agar/Broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2773.ashx,,,,
Shewanella oneidensis Venkateswaran et al. (ATCC BAA-1096),$402.00 ,$341.70 ,NA,NA,MR-1,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 30Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,NA,NA,Genome sequencing strain,https://www.atcc.org/~/ps/BAA-1096.ashx,,,,
